,Plan,Fund_Name,p.a Return,Expense Ratio,Current Val
276,HYBRID,ICICI Prudential Asset Allocator Fund (FOF),13.30,0.27,8.37
277,EQUITY,Invesco India Contra Fund,13.94,0.62,8.5 
278,EQUITY,Aditya Birla Sun Life Manufacturing Equity Fund,9.19%,1.56,7.56
279,COMMODITIES,Axis Gold Fund,13.32,0.17,8.37
280,DEBT,DSP 10Y G-Sec Fund,4.75%,0.31,6.76
281,EQUITY,DSP World Gold FoF,8.48%,1.81,7.42
282,EQUITY,DSP Healthcare Fund,.A.,1.04,.A.
283,EQUITY,Aditya Birla Sun Life India GenNext Fund,14.47,0.82,8.61
284,EQUITY,Franklin India Technology Fund,15.03,1.22,8.73
285,HYBRID,Kotak Multi Asset Allocator FoF - Dynamic,17.42,0.13,9.26
286,EQUITY,DSP Natural Resources and New Energy Fund,18.12,1.21,9.42
287,EQUITY,Sundaram Nifty 100 Equal Weight Fund,10.29,0.46,7.77
288,HYBRID,Franklin India Multi Asset Solution Fund of Funds,7.54%,0.44,7.25
289,HYBRID,Bandhan Asset Allocation Conservative,6.17%,0.28,7.01
290,EQUITY,ICICI Prudential FMCG Fund,15.78,1.45,8.89
291,EQUITY,Mirae Asset Great Consumer Fund,15.64,0.47,8.86
292,EQUITY,SBI Infrastructure Fund,19.10,1.88,9.65
293,EQUITY,ICICI Prudential Technology Fund,21.87,0.98,10.3
294,EQUITY,UTI Nifty Next 50 Index Fund,.A.,0.33,.A.
295,HYBRID,Aditya Birla Sun Life Financial Planning FOF Conservative Plan,8.71%,0.34,7.47
296,EQUITY,SBI Nifty Index Fund,12.37,0.18,8.18
297,EQUITY,Edelweiss Emerging Markets Opportunities Equity Offshore Fund,0.71%,1.43,6.11
298,EQUITY,Tata S&P BSE Sensex Index Fund,12.76,0.27,8.26
299,DEBT,ICICI Prudential Long Term Bond Fund,5.45%,1.48,6.88
300,EQUITY,DSP World Energy Fund,10.26,1.53,7.76
301,EQUITY,Baroda BNP Paribas India Consumption Fund,.A.,0.81,.A.
302,EQUITY,SBI Magnum Global Fund,14.20,1.25,8.56
303,EQUITY,ICICI Prudential Global Advantage Fund (FOF),.A.,0.45,.A.
304,EQUITY,ICICI Prudential Commodities Fund,.A.,1.06,.A.
305,EQUITY,ICICI Prudential Manufacturing Fund,.A.,1.75,.A.
306,EQUITY,Aditya Birla Sun Life Global Excellence Equity FoF,5.11%,0.69,6.83
307,EQUITY,Tata Resources & Energy Fund,19.15,0.91,9.66
308,EQUITY,Motilal Oswal Nifty Next 50 Index Fund,.A.,0.33,.A.
309,EQUITY,Motilal Oswal Nifty 50 Index Fund,.A., 0.1,.A.
310,EQUITY,Aditya Birla Sun Life PSU Equity Fund,.A.,0.98,.A.
311,COMMODITIES,HDFC Gold Fund,13.23,0.18,8.35
312,EQUITY,Edelweiss US Technology Equity FoF,.A.,1.41,.A.
313,EQUITY,Aditya Birla Sun Life Digital India Fund,21.41,0.88,10.2
314,EQUITY,HSBC Nifty 50 Index Fund,.A., 0.2,.A.
315,EQUITY,Motilal Oswal S&P 500 Index Fund,.A.,0.51,.A.
316,COMMODITIES,Nippon India Gold Savings Fund,12.97,0.19,8.3 
317,EQUITY,HSBC Focused Fund,.A.,0.82,.A.
318,EQUITY,ICICI Prudential US Bluechip Equity Fund,15.56,1.22,8.85
319,DEBT,BHARAT Bond FOF - April 2031,.A.,0.06,.A.
320,HYBRID,Nippon India Multi Asset Fund,.A.,0.25,.A.
321,EQUITY,Axis Global Equity Alpha FoF,.A.,0.47,.A.
322,EQUITY,Bandhan Nifty 50 Index Fund,12.69, 0.1,8.24
323,EQUITY,ICICI Prudential ESG Fund,.A.,0.81,.A.
324,DEBT,Mirae Asset Ultra Short Duration Fund,.A.,0.29,.A.
325,EQUITY,Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund,.A.,0.53,.A.
326,EQUITY,Mirae Asset Nifty 100 ESG Sector Leaders FoF,.A.,0.17,.A.
327,EQUITY,UTI Healthcare Fund,11.75, 1.5,8.05
328,EQUITY,Mirae Asset Healthcare Fund,.A.,0.52,.A.
329,EQUITY,Mirae Asset Banking and Financial Services Fund,.A.,0.62,.A.
330,EQUITY,Kotak ESG Opportunities Fund,.A.,0.38,.A.
331,EQUITY,ICICI Prudential Quant Fund,.A.,0.49,.A.
332,EQUITY,Kotak Global Emerging Market Fund,3.88%,1.16,6.62
333,DEBT,ICICI Prudential Constant Maturity Gilt Fund,6.34%,0.23,7.04
334,EQUITY,UTI Small Cap Fund,.A.,0.53,.A.
335,EQUITY,Kotak International REIT FOF,.A.,0.49,.A.
336,EQUITY,ICICI Prudential Business Cycle Fund,.A.,0.34,.A.
337,HYBRID,PGIM India Balanced Advantage Fund,.A.,0.31,.A.
338,HYBRID,SBI Retirement Benefit Fund - Aggressive Hybrid Plan,.A.,1.21,.A.
339,HYBRID,SBI Retirement Benefit Fund - Conservative Hybrid Plan,.A.,1.13,.A.
340,EQUITY,Axis Greater China Equity FoF,.A.,0.43,.A.
341,DEBT,Bandhan Government Securities Fund Constant Maturity Plan,5.99%,0.49,6.98
342,DEBT,Bandhan Floating Rate Fund,.A.,0.34,.A.
343,EQUITY,Kotak Nifty Next 50 Index Fund,.A.,0.31,.A.
344,HYBRID,Motilal Oswal Asset Allocation Passive FoF - Conservative,.A.,0.04,.A.
345,DEBT,Mirae Asset Corporate Bond Fund,.A.,0.47,.A.
346,DEBT,DSP Floater Fund,.A.,0.24,.A.
347,DEBT,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund,.A.,0.16,.A.
348,EQUITY,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund,.A.,0.28,.A.
349,EQUITY,ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF,.A.,0.12,.A.
350,EQUITY,Edelweiss Greater China Equity Off-shore Fund,5.61%,1.44,6.91
351,EQUITY,Franklin India Feeder - Templeton European Opportunities Fund,3.49%,0.46,6.55
352,EQUITY,Canara Robeco Focused Equity Fund,.A.,0.43,.A.
353,EQUITY,Baroda BNP Paribas Funds Aqua FoF,.A.,0.51,.A.
354,HYBRID,HDFC Asset Allocator FoF,.A.,0.06,.A.
355,EQUITY,Aditya Birla Sun Life International Equity Plan A,9.39%,1.75,7.6 
356,EQUITY,SBI Nifty Next 50 Index Fund,.A.,0.34,.A.
357,EQUITY,Tata Dividend Yield Fund,.A.,0.74,.A.
358,EQUITY,Kotak Nifty 50 Index Fund,.A.,0.18,.A.
359,EQUITY,Axis Quant Fund,.A., 0.5,.A.
360,DEBT,Tata Floating Rate Fund,.A., 0.3,.A.
361,DEBT,Invesco India Medium Duration Fund,.A., 0.4,.A.
362,EQUITY,ICICI Prudential Nifty Next 50 Index Fund,7.47%, 0.3,7.24
363,EQUITY,Navi Nifty 50 Index Fund,.A.,0.06,.A.
364,EQUITY,Tata Business Cycle Fund,.A.,0.57,.A.
365,EQUITY,DSP Nifty 50 Equal Weight Index Fund,13.95, 0.4,8.5 
366,EQUITY,UTI India Consumer Fund,9.29%,1.77,7.58
367,EQUITY,Nippon India Flexi Cap Fund,.A.,0.69,.A.
368,EQUITY,Nippon India Quant Fund,14.56, 0.7,8.63
369,EQUITY,Motilal Oswal Nasdaq 100 FOF Scheme,.A., 0.1,.A.
370,EQUITY,HDFC NIFTY50 Equal Weight Index Fund,.A., 0.4,.A.
371,EQUITY,SBI PSU Fund,14.68,1.42,8.66
372,EQUITY,DSP World Mining Fund,19.26, 1.5,9.68
373,EQUITY,Axis Value Fund,.A.,1.13,.A.
374,EQUITY,Kotak Multicap Fund,.A.,0.22,.A.
